ticker,company_name,sector,exchange
EW,Edwards Lifesciences Corporation,Healthcare,NYQ
EA,Electronic Arts Inc.,Communication Services,NMS
ELV,"Elevance Health, Inc.",Healthcare,NYQ
EMR,Emerson Electric Co.,Industrials,NYQ
ENPH,"Enphase Energy, Inc.",Technology,NGM
ETR,Entergy Corporation,Utilities,NYQ
EOG,"EOG Resources, Inc.",Energy,NYQ
EPAM,"EPAM Systems, Inc.",Technology,NYQ
EQT,EQT Corporation,Energy,NYQ
EFX,Equifax Inc.,Industrials,NYQ
EQIX,"Equinix, Inc.",Real Estate,NMS
EQR,Equity Residential,Real Estate,NYQ
ERIE,Erie Indemnity Company,Financial Services,NMS
ESS,"Essex Property Trust, Inc.",Real Estate,NYQ
EL,The Estée Lauder Companies Inc.,Consumer Defensive,NYQ
EG,"Everest Group, Ltd.",Financial Services,NYQ
EVRG,"Evergy, Inc.",Utilities,NMS
ES,Eversource Energy,Utilities,NYQ
EXC,Exelon Corporation,Utilities,NMS
EXE,Expand Energy Corporation,Energy,NMS
EXPE,"Expedia Group, Inc.",Consumer Cyclical,NMS
EXPD,"Expeditors International of Washington, Inc.",Industrials,NYQ
EXR,Extra Space Storage Inc.,Real Estate,NYQ
XOM,Exxon Mobil Corporation,Energy,NYQ
FFIV,"F5, Inc.",Technology,NMS
FDS,FactSet Research Systems Inc.,Financial Services,NYQ
FICO,Fair Isaac Corporation,Technology,NYQ
FAST,Fastenal Company,Industrials,NMS
FRT,Federal Realty Investment Trust,Real Estate,NYQ
FDX,FedEx Corporation,Industrials,NYQ
FIS,"Fidelity National Information Services, Inc.",Technology,NYQ
FITB,Fifth Third Bancorp,Financial Services,NMS
FSLR,"First Solar, Inc.",Technology,NMS
FE,FirstEnergy Corp.,Utilities,NYQ
FI,"Fiserv, Inc.",Technology,NYQ
F,Ford Motor Company,Consumer Cyclical,NYQ
FTNT,"Fortinet, Inc.",Technology,NMS
FTV,Fortive Corporation,Technology,NYQ
FOXA,Fox Corporation,Communication Services,NMS
FOX,Fox Corporation,Communication Services,NMS
BEN,"Franklin Resources, Inc.",Financial Services,NYQ
FCX,Freeport-McMoRan Inc.,Basic Materials,NYQ
GRMN,Garmin Ltd.,Technology,NYQ
IT,"Gartner, Inc.",Technology,NYQ
GE,GE Aerospace,Industrials,NYQ
GEHC,GE HealthCare Technologies Inc.,Healthcare,NMS
GEV,GE Vernova Inc.,Utilities,NYQ
GEN,Gen Digital Inc.,Technology,NMS
GNRC,Generac Holdings Inc.,Industrials,NYQ
GD,General Dynamics Corporation,Industrials,NYQ
GIS,"General Mills, Inc.",Consumer Defensive,NYQ
GM,General Motors Company,Consumer Cyclical,NYQ
GPC,Genuine Parts Company,Consumer Cyclical,NYQ
GILD,"Gilead Sciences, Inc.",Healthcare,NMS
GPN,Global Payments Inc.,Industrials,NYQ
GL,Globe Life Inc.,Financial Services,NYQ
GDDY,GoDaddy Inc.,Technology,NYQ
GS,"The Goldman Sachs Group, Inc.",Financial Services,NYQ
HAL,Halliburton Company,Energy,NYQ
HIG,"The Hartford Insurance Group, Inc.",Financial Services,NYQ
HAS,"Hasbro, Inc.",Consumer Cyclical,NMS
HCA,"HCA Healthcare, Inc.",Healthcare,NYQ
DOC,"Healthpeak Properties, Inc.",Real Estate,NYQ
HSIC,"Henry Schein, Inc.",Healthcare,NMS
HSY,The Hershey Company,Consumer Defensive,NYQ
HES,Hess Corporation,Energy,NYQ
HPE,Hewlett Packard Enterprise Company,Technology,NYQ
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,NYQ
HOLX,"Hologic, Inc.",Healthcare,NMS
HD,"The Home Depot, Inc.",Consumer Cyclical,NYQ
HON,Honeywell International Inc.,Industrials,NMS
HRL,Hormel Foods Corporation,Consumer Defensive,NYQ
HST,"Host Hotels & Resorts, Inc.",Real Estate,NMS
HWM,Howmet Aerospace Inc.,Industrials,NYQ
HPQ,HP Inc.,Technology,NYQ
HUBB,Hubbell Incorporated,Industrials,NYQ
HUM,Humana Inc.,Healthcare,NYQ
HBAN,Huntington Bancshares Incorporated,Financial Services,NMS
HII,"Huntington Ingalls Industries, Inc.",Industrials,NYQ
IBM,International Business Machines Corporation,Technology,NYQ
IEX,IDEX Corporation,Industrials,NYQ
IDXX,"IDEXX Laboratories, Inc.",Healthcare,NMS
ITW,Illinois Tool Works Inc.,Industrials,NYQ
INCY,Incyte Corporation,Healthcare,NMS
IR,Ingersoll Rand Inc.,Industrials,NYQ
PODD,Insulet Corporation,Healthcare,NMS
INTC,Intel Corporation,Technology,NMS
ICE,"Intercontinental Exchange, Inc.",Financial Services,NYQ
IFF,International Flavors & Fragrances Inc.,Basic Materials,NYQ
IP,International Paper Company,Consumer Cyclical,NYQ
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,NYQ
INTU,Intuit Inc.,Technology,NMS
ISRG,"Intuitive Surgical, Inc.",Healthcare,NMS
IVZ,Invesco Ltd.,Financial Services,NYQ
INVH,Invitation Homes Inc.,Real Estate,NYQ
IQV,IQVIA Holdings Inc.,Healthcare,NYQ
IRM,Iron Mountain Incorporated,Real Estate,NYQ
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,NMS
JBL,Jabil Inc.,Technology,NYQ
JKHY,"Jack Henry & Associates, Inc.",Technology,NMS
J,Jacobs Solutions Inc.,Industrials,NYQ
JNJ,Johnson & Johnson,Healthcare,NYQ
JCI,Johnson Controls International plc,Industrials,NYQ
JPM,JPMorgan Chase & Co.,Financial Services,NYQ
JNPR,"Juniper Networks, Inc.",Technology,NYQ
K,Kellanova,Consumer Defensive,NYQ
KVUE,Kenvue Inc.,Consumer Defensive,NYQ
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,NMS
KEY,KeyCorp,Financial Services,NYQ
KEYS,"Keysight Technologies, Inc.",Technology,NYQ
KMB,Kimberly-Clark Corporation,Consumer Defensive,NYQ
KIM,Kimco Realty Corporation,Real Estate,NYQ
KMI,"Kinder Morgan, Inc.",Energy,NYQ
KKR,KKR & Co. Inc.,Financial Services,NYQ
KLAC,KLA Corporation,Technology,NMS
KHC,The Kraft Heinz Company,Consumer Defensive,NMS
KR,The Kroger Co.,Consumer Defensive,NYQ
LHX,"L3Harris Technologies, Inc.",Industrials,NYQ
LH,Labcorp Holdings Inc.,Healthcare,NYQ
LRCX,Lam Research Corporation,Technology,NMS
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,NYQ
LVS,Las Vegas Sands Corp.,Consumer Cyclical,NYQ
LDOS,"Leidos Holdings, Inc.",Technology,NYQ
LEN,Lennar Corporation,Consumer Cyclical,NYQ
LII,Lennox International Inc.,Industrials,NYQ
LLY,Eli Lilly and Company,Healthcare,NYQ
LIN,Linde plc,Basic Materials,NMS
LYV,"Live Nation Entertainment, Inc.",Communication Services,NYQ
LKQ,LKQ Corporation,Consumer Cyclical,NMS
LMT,Lockheed Martin Corporation,Industrials,NYQ
L,Loews Corporation,Financial Services,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,NYQ
LULU,lululemon athletica inc.,Consumer Cyclical,NMS
LYB,LyondellBasell Industries N.V.,Basic Materials,NYQ
MTB,M&T Bank Corporation,Financial Services,NYQ
MPC,Marathon Petroleum Corporation,Energy,NYQ
MKTX,MarketAxess Holdings Inc.,Financial Services,NMS
MAR,"Marriott International, Inc.",Consumer Cyclical,NMS
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,NYQ
MLM,"Martin Marietta Materials, Inc.",Basic Materials,NYQ
MAS,Masco Corporation,Industrials,NYQ
MA,Mastercard Incorporated,Financial Services,NYQ
MTCH,"Match Group, Inc.",Communication Services,NMS
MKC,"McCormick & Company, Incorporated",Consumer Defensive,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,NYQ
MCK,McKesson Corporation,Healthcare,NYQ
MDT,Medtronic plc,Healthcare,NYQ
MRK,"Merck & Co., Inc.",Healthcare,NYQ
META,"Meta Platforms, Inc.",Communication Services,NMS
MET,"MetLife, Inc.",Financial Services,NYQ
MTD,Mettler-Toledo International Inc.,Healthcare,NYQ
MGM,MGM Resorts International,Consumer Cyclical,NYQ
MCHP,Microchip Technology Incorporated,Technology,NMS
MU,"Micron Technology, Inc.",Technology,NMS
MSFT,Microsoft Corporation,Technology,NMS
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,NYQ
MRNA,"Moderna, Inc.",Healthcare,NMS
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,NYQ
MOH,"Molina Healthcare, Inc.",Healthcare,NYQ
TAP,Molson Coors Beverage Company,Consumer Defensive,NYQ
MDLZ,"Mondelez International, Inc.",Consumer Defensive,NMS
MPWR,"Monolithic Power Systems, Inc.",Technology,NMS
MNST,Monster Beverage Corporation,Consumer Defensive,NMS
MCO,Moody's Corporation,Financial Services,NYQ
MS,Morgan Stanley,Financial Services,NYQ
MOS,The Mosaic Company,Basic Materials,NYQ
MSI,"Motorola Solutions, Inc.",Technology,NYQ
MSCI,MSCI Inc.,Financial Services,NYQ
NDAQ,"Nasdaq, Inc.",Financial Services,NMS
NTAP,"NetApp, Inc.",Technology,NMS
NFLX,"Netflix, Inc.",Communication Services,NMS
NEM,Newmont Corporation,Basic Materials,NYQ
NWSA,News Corporation,Communication Services,NMS
NWS,News Corporation,Communication Services,NMS
NEE,"NextEra Energy, Inc.",Utilities,NYQ
NKE,"NIKE, Inc.",Consumer Cyclical,NYQ
NI,NiSource Inc.,Utilities,NYQ
NDSN,Nordson Corporation,Industrials,NMS
NSC,Norfolk Southern Corporation,Industrials,NYQ
NTRS,Northern Trust Corporation,Financial Services,NMS
NOC,Northrop Grumman Corporation,Industrials,NYQ
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,NYQ
NRG,"NRG Energy, Inc.",Utilities,NYQ
NUE,Nucor Corporation,Basic Materials,NYQ
NVDA,NVIDIA Corporation,Technology,NMS
NVR,"NVR, Inc.",Consumer Cyclical,NYQ
NXPI,NXP Semiconductors N.V.,Technology,NMS
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,NMS
OXY,Occidental Petroleum Corporation,Energy,NYQ
ODFL,"Old Dominion Freight Line, Inc.",Industrials,NMS
OMC,Omnicom Group Inc.,Communication Services,NYQ
ON,ON Semiconductor Corporation,Technology,NMS
OKE,"ONEOK, Inc.",Energy,NYQ
ORCL,Oracle Corporation,Technology,NYQ
OTIS,Otis Worldwide Corporation,Industrials,NYQ
PCAR,PACCAR Inc,Industrials,NMS
PKG,Packaging Corporation of America,Consumer Cyclical,NYQ
PLTR,Palantir Technologies Inc.,Technology,NMS
PANW,"Palo Alto Networks, Inc.",Technology,NMS
PARA,Paramount Global,Communication Services,NMS
PH,Parker-Hannifin Corporation,Industrials,NYQ
PAYX,"Paychex, Inc.",Technology,NMS
PAYC,"Paycom Software, Inc.",Technology,NYQ
PYPL,"PayPal Holdings, Inc.",Financial Services,NMS
PNR,Pentair plc,Industrials,NYQ
PEP,"PepsiCo, Inc.",Consumer Defensive,NMS
PFE,Pfizer Inc.,Healthcare,NYQ
PCG,PG&E Corporation,Utilities,NYQ
PM,Philip Morris International Inc.,Consumer Defensive,NYQ
PSX,Phillips 66,Energy,NYQ
PNW,Pinnacle West Capital Corporation,Utilities,NYQ
PNC,"The PNC Financial Services Group, Inc.",Financial Services,NYQ
POOL,Pool Corporation,Industrials,NMS
PPG,"PPG Industries, Inc.",Basic Materials,NYQ
PPL,PPL Corporation,Utilities,NYQ
PFG,"Principal Financial Group, Inc.",Financial Services,NMS
PG,The Procter & Gamble Company,Consumer Defensive,NYQ
PGR,The Progressive Corporation,Financial Services,NYQ
PLD,"Prologis, Inc.",Real Estate,NYQ
PRU,"Prudential Financial, Inc.",Financial Services,NYQ
PEG,Public Service Enterprise Group Incorporated,Utilities,NYQ
PTC,PTC Inc.,Technology,NMS
PSA,Public Storage,Real Estate,NYQ
