"137","DaVita Inc.","DVA","Healthcare","NYQ"
"138","Dayforce Inc","DAY","Technology","NYQ"
"139","Deckers Outdoor Corporation","DECK","Consumer Cyclical","NYQ"
"140","Deere & Company","DE","Industrials","NYQ"
"141","Dell Technologies Inc.","DELL","Technology","NYQ"
"142","Delta Air Lines, Inc.","DAL","Industrials","NYQ"
"143","Devon Energy Corporation","DVN","Energy","NYQ"
"144","DexCom, Inc.","DXCM","Healthcare","NMS"
"145","Diamondback Energy, Inc.","FANG","Energy","NMS"
"146","Digital Realty Trust, Inc.","DLR","Real Estate","NYQ"
"147","Discover Financial Services","DFS","Financial Services","NYQ"
"148","Dollar General Corporation","DG","Consumer Defensive","NYQ"
"149","Dollar Tree, Inc.","DLTR","Consumer Defensive","NMS"
"150","Dominion Energy, Inc.","D","Utilities","NYQ"
"151","Domino's Pizza, Inc.","DPZ","Consumer Cyclical","NMS"
"152","DoorDash, Inc.","DASH","Communication Services","NMS"
"153","Dover Corporation","DOV","Industrials","NYQ"
"154","Dow Inc.","DOW","Basic Materials","NYQ"
"155","D.R. Horton, Inc.","DHI","Consumer Cyclical","NYQ"
"156","DTE Energy Company","DTE","Utilities","NYQ"
"157","Duke Energy Corporation","DUK","Utilities","NYQ"
"158","DuPont de Nemours, Inc.","DD","Basic Materials","NYQ"
"159","Eastman Chemical Company","EMN","Basic Materials","NYQ"
"160","Eaton Corporation plc","ETN","Industrials","NYQ"
"161","eBay Inc.","EBAY","Consumer Cyclical","NMS"
"162","Ecolab Inc.","ECL","Basic Materials","NYQ"
"163","Edison International","EIX","Utilities","NYQ"
"164","Edwards Lifesciences Corporation","EW","Healthcare","NYQ"
"165","Electronic Arts Inc.","EA","Communication Services","NMS"
"166","Elevance Health, Inc.","ELV","Healthcare","NYQ"
"167","Emerson Electric Co.","EMR","Industrials","NYQ"
"168","Enphase Energy, Inc.","ENPH","Technology","NGM"
"169","Entergy Corporation","ETR","Utilities","NYQ"
"170","EOG Resources, Inc.","EOG","Energy","NYQ"
"171","EPAM Systems, Inc.","EPAM","Technology","NYQ"
"172","EQT Corporation","EQT","Energy","NYQ"
"173","Equifax Inc.","EFX","Industrials","NYQ"
"174","Equinix, Inc.","EQIX","Real Estate","NMS"
"175","Equity Residential","EQR","Real Estate","NYQ"
"176","Erie Indemnity Company","ERIE","Financial Services","NMS"
"177","Essex Property Trust, Inc.","ESS","Real Estate","NYQ"
"178","The Estée Lauder Companies Inc.","EL","Consumer Defensive","NYQ"
"179","Everest Group, Ltd.","EG","Financial Services","NYQ"
"180","Evergy, Inc.","EVRG","Utilities","NMS"
"181","Eversource Energy","ES","Utilities","NYQ"
"182","Exelon Corporation","EXC","Utilities","NMS"
"183","Expand Energy Corporation","EXE","Energy","NMS"
"184","Expedia Group, Inc.","EXPE","Consumer Cyclical","NMS"
"185","Expeditors International of Washington, Inc.","EXPD","Industrials","NYQ"
"186","Extra Space Storage Inc.","EXR","Real Estate","NYQ"
"187","Exxon Mobil Corporation","XOM","Energy","NYQ"
"188","F5, Inc.","FFIV","Technology","NMS"
"189","FactSet Research Systems Inc.","FDS","Financial Services","NYQ"
"190","Fair Isaac Corporation","FICO","Technology","NYQ"
"191","Fastenal Company","FAST","Industrials","NMS"
"192","Federal Realty Investment Trust","FRT","Real Estate","NYQ"
"193","FedEx Corporation","FDX","Industrials","NYQ"
"194","Fidelity National Information Services, Inc.","FIS","Technology","NYQ"
"195","Fifth Third Bancorp","FITB","Financial Services","NMS"
"196","First Solar, Inc.","FSLR","Technology","NMS"
"197","FirstEnergy Corp.","FE","Utilities","NYQ"
"198","Fiserv, Inc.","FI","Technology","NYQ"
"199","Ford Motor Company","F","Consumer Cyclical","NYQ"
"200","Fortinet, Inc.","FTNT","Technology","NMS"
"201","Fortive Corporation","FTV","Technology","NYQ"
"202","Fox Corporation","FOXA","Communication Services","NMS"
"203","Fox Corporation","FOX","Communication Services","NMS"
"204","Franklin Resources, Inc.","BEN","Financial Services","NYQ"
"205","Freeport-McMoRan Inc.","FCX","Basic Materials","NYQ"
"206","Garmin Ltd.","GRMN","Technology","NYQ"
"207","Gartner, Inc.","IT","Technology","NYQ"
"208","GE Aerospace","GE","Industrials","NYQ"
"209","GE HealthCare Technologies Inc.","GEHC","Healthcare","NMS"
"210","GE Vernova Inc.","GEV","Utilities","NYQ"
"211","Gen Digital Inc.","GEN","Technology","NMS"
"212","Generac Holdings Inc.","GNRC","Industrials","NYQ"
"213","General Dynamics Corporation","GD","Industrials","NYQ"
"214","General Mills, Inc.","GIS","Consumer Defensive","NYQ"
"215","General Motors Company","GM","Consumer Cyclical","NYQ"
"216","Genuine Parts Company","GPC","Consumer Cyclical","NYQ"
"217","Gilead Sciences, Inc.","GILD","Healthcare","NMS"
"218","Global Payments Inc.","GPN","Industrials","NYQ"
"219","Globe Life Inc.","GL","Financial Services","NYQ"
"220","GoDaddy Inc.","GDDY","Technology","NYQ"
"221","The Goldman Sachs Group, Inc.","GS","Financial Services","NYQ"
"222","Halliburton Company","HAL","Energy","NYQ"
"223","The Hartford Insurance Group, Inc.","HIG","Financial Services","NYQ"
"224","Hasbro, Inc.","HAS","Consumer Cyclical","NMS"
"225","HCA Healthcare, Inc.","HCA","Healthcare","NYQ"
"226","Healthpeak Properties, Inc.","DOC","Real Estate","NYQ"
"227","Henry Schein, Inc.","HSIC","Healthcare","NMS"
"228","The Hershey Company","HSY","Consumer Defensive","NYQ"
"229","Hess Corporation","HES","Energy","NYQ"
"230","Hewlett Packard Enterprise Company","HPE","Technology","NYQ"
"231","Hilton Worldwide Holdings Inc.","HLT","Consumer Cyclical","NYQ"
"232","Hologic, Inc.","HOLX","Healthcare","NMS"
"233","The Home Depot, Inc.","HD","Consumer Cyclical","NYQ"
"234","Honeywell International Inc.","HON","Industrials","NMS"
